Tokens,Tags,Polarities
"['انصح', 'بالنوم', 'وليس', 'تناول', 'الطعام', 'موقع', 'مثالي', 'للاقامه', 'قبل', 'رحله', 'طيران', 'مبكره', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1]"
"['فندق', 'يتميز', 'بمرافق', 'نوعيه', 'وخلاقه', 'وساخنه', '.', 'قم', 'بشراء', 'وجبه', 'داخل', 'الغرفه', 'من', 'M', '_', 'S', 'عند', 'الوصول', 'في', 'المطار', 'بدلا', 'من', 'ذلك']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['لمسه', 'بحريه', 'جميل', 'وظريفه', '،', 'فندق', 'تقليدي', 'في', 'المدينه', 'التاريخيه', 'القديمه', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1]"
"['ساوصي', 'بالتاكيد', 'بموقع', 'المدينه', 'القديمه', 'الا', 'انه', 'عليك', 'الحذر', 'من', 'الاسعار', 'السياحيه', 'الاكثر', 'ارتفاعا', '.']","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]","[-1, -1, -1, 2, 2, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1]"
"['فريق', 'العمل', 'الودود', 'والمتعاون', 'علي', 'الاطلاق', 'والبار', 'المنعش', 'علي', 'الاطلاق', 'خلال', 'فصل', 'الصيف', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['فندق', 'جميل', '،', 'ولكن', 'فقط', 'كن', 'جاهزا', 'للمزيد', 'من', 'الجو', 'البحري', '!', '!']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['كان', 'الافطار', 'مبهجا', '-', 'لذيذ', 'للغايه', 'مع', 'تشكيله', 'رائعه', '.', 'رائع', '-', '5', 'نجوم', '!']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['من', 'افضل', 'فنادق', 'المدينه', 'المنوره', 'انصح', 'وبشده', 'من', 'يريد', 'ان', 'يشعر', 'انه', 'في', 'بيته', 'الثاني', 'ان', 'يذهب', 'اليه', 'اكل', 'نظيف', 'تعامل', 'راقي']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 2, -1]"
"['خدمات', 'مميزه', 'موقع', 'ممتاز', 'وقريب', 'خصوصا', 'لمن', 'معهم', 'نساء', 'وذلك', 'لقربه', 'من', 'بوابه', 'مصلي', 'النساء', 'نظافه', 'المكان']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[2, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2]"
"['وجود', 'خدمات', 'توصيل', 'من', 'والي', 'المطار', 'وجود', 'سيارات', 'تنقلك', 'الي', 'المزارات', '(', 'مسجد', 'قباء', '-', 'مقبره', 'الشهداء', '-', 'مقبره', 'البقيع', ')']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['من', 'افضل', 'الفنادق', 'التي', 'تجعلك', 'تشتاق', 'الي', 'العرده', 'اليه', 'والاقامه', 'فيه', 'حيث', 'الرقي', 'والرفاهيه', 'والامتياز', 'في', 'تقديم', 'الخدمه']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2]"
"['وايضا', 'لديكم', 'افضل', 'وامهر', 'الاشخاص', 'مع', 'النزلاء', 'وانصح', 'الجميع', 'بتجربه', 'الصاله', 'التنفيذيه', 'ولديهم', 'افضل', 'الوجبات', 'من', 'حيث', 'الجوده', 'و', 'الطعم', 'و', 'الموقع', 'ممتاز', 'مع', 'الحرم']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2]"
"['فندق', 'رائع', 'الفندق', 'اكثر', 'من', 'رائع', 'وخصوصا', 'مستوي', 'الخدمه', 'وسرعه', 'تلبيه', 'رغباتي', 'من', 'قبل', 'مكاتب', 'الاستقبال', 'والرقي', 'في', 'التعامل', 'من', 'بدايه', 'الاستقبال', 'في', 'المطار', 'وحتي', 'المغادره']","[1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, 2, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['مستوي', 'مركز', 'اللياقه', 'البدنيه', 'ممتاز', 'الفندق', 'قريب', 'من', 'غلب', 'مناطق', 'الكويت', 'الترفيهيه', 'والمزارات', 'السياحيه', 'والمطاعم', 'ويعتبر', 'من', 'اقرب', 'الفنادق', 'للشاطئ']","[0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 2, 2, 2, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['اقامه', 'هادئه']","[1, 0]","[2, -1]"
"['ورايت', 'في', 'جميع', 'العاملين', 'الخدمه', 'الممتازه', '.', 'واشكر', 'السيد', '/', 'محسن', 'علي', 'المساعده', 'وقيامه', 'بكل', 'واجبات', 'عمله', 'معي', 'واشكر', 'ايضا', 'البواب', 'عدنان', 'لتذكيري', 'بعد', 'ان', 'نسيت', 'هاتفي', 'الجوال', 'بالتاكسي', '،', 'واشكر', 'جميع', 'العاملين', 'بهذا', 'الفندق', 'الممتاز']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1]"
"['رحله', 'عمل', 'ساظل', 'اتذكر', 'هذا', 'الفندق', 'لسنوات', 'عديده', '،', 'فقد', 'كانت', 'هناك', 'صراصير', 'في', 'الغرفه', '،']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]"
"['(', 'وهم', 'يرشون', 'المكان', 'طوال', 'الوقت', 'ولكن', 'الصراصير', 'لا', 'تنتهي', 'ابدا', '!', ')', 'وعلي', 'الرغم', 'من', 'ان', 'موظفي', 'الفندق', 'كانوا', 'يبذلون', 'قصاري', 'جهدهم', '،', 'وانا', 'اشكرهم', 'علي', 'ذلك', '،', 'الا', 'ان', 'المرافق', 'لم', 'تكن', 'تساعدهم', 'علي', 'ذلك', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1]"
"['ولن', 'انصح', 'احد', 'بهذا', 'الفندق', 'لا', 'سيما', 'اذا', 'كان', 'يصطحب', 'اطفالا', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]"
"['وبالنسبه', 'لرحلات', 'العمل', 'القصيره', '،', 'التي', 'لا', 'تستدعي', 'اجراءات', 'خاصه', '،', 'لا', 'باس', 'بهذا', 'الفندق', '،', 'ولكن', 'ليس', 'اكثر', 'من', 'ذلك', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]"
"['متوسط', 'الفندق', 'مقبول', 'بدرجه', 'متوسطه', 'و', 'في', 'بعض', 'حاجات', 'مش', 'مقبوله']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['2', ':', '-', 'الماء', 'الساخن', 'بالحمام', 'ساعات', 'تبقي', 'بارده', 'جدا', 'و', 'ساعات', 'تبقي', 'دافنه']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
